id,symbol,price,side,volume,high,low,max_profit,max_loss,,
15700892,XRPUSDT,0.4267,1,232.4,0.4303,0.4142,2.905,0.83664,,
15700994,BTCUSDT,28176.07714,2,3.546163953,27909.28,27000,-946.1064179,4170.562378,,
15701070,ETHUSDT,1810.7896,2,3.323109704,1767.12,1726.41,-145.1188716,280.4026676,,
15701472,XRPUSDT,0.437676682,1,20017.43336,0.4272,0.4142,469.9429247,-209.716291,,
15701494,XRPUSDT,0.4263,1,775.8,0.4272,0.4142,9.38718,0.69822,,
15701496,BTCUSDT,28025.35,2,0.0142,27909.28,27000,-1.648194,14.55997,,
15701497,XRPUSDT,0.4265,1,869.2,0.4272,0.4142,10.69116,0.60844,,
15701498,XRPUSDT,0.4265,1,1996,0.4272,0.4142,24.5508,1.3972,,
15701499,XRPUSDT,0.4263,2,3276,0.4272,0.4142,2.9484,39.6396,,
15701504,XRPUSDT,0.4272,1,25.6,0.4272,0.4142,0.3328,0,,
15701505,XRPUSDT,0.427,1,24,0.4272,0.4142,0.3072,0.0048,,
15701506,XRPUSDT,0.4267,1,900.6,0.4272,0.4142,11.2575,0.4503,,
15701507,XRPUSDT,0.4265,1,36.3,0.4272,0.4142,0.44649,0.02541,,
15701508,XRPUSDT,0.4269,2,96,0.4272,0.4142,0.0288,1.2192,,
15701509,XRPUSDT,0.4269,2,31.2,0.4272,0.4142,0.00936,0.39624,,
15701510,XRPUSDT,0.4268,1,1174,0.4272,0.4142,14.7924,0.4696,,
15701511,XRPUSDT,0.4262,2,56.2,0.4272,0.4142,0.0562,0.6744,,
15701512,XRPUSDT,0.426,1,400.2,0.4272,0.4142,4.72236,0.48024,,
15701514,XRPUSDT,0.4262,1,35.7,0.4272,0.4142,0.4284,0.0357,,
15701519,XRPUSDT,0.4261,2,790,0.4272,0.4142,0.869,9.401,,
15701524,XRPUSDT,0.4261,1,29.9,0.4272,0.4142,0.35581,0.03289,,
15701525,XRPUSDT,0.4261,2,234.7,0.4272,0.4142,0.25817,2.79293,,
15701527,XRPUSDT,0.4267,1,48.9,0.4272,0.4142,0.61125,0.02445,,
15701529,XRPUSDT,0.4265,2,1174,0.4272,0.4142,0.8218,14.4402,,
15701540,XRPUSDT,0.4268,1,2882.5,0.4272,0.4142,36.3195,1.153,,
15701549,XRPUSDT,0.4275,1,230.4,0.4272,0.4142,3.06432,-0.06912,,
15701553,XRPUSDT,0.4276,1,899.4,0.4272,0.4142,12.05196,-0.35976,,
15701554,XRPUSDT,0.4277,1,230.4,0.4272,0.4142,3.1104,-0.1152,,
15701555,XRPUSDT,0.4284,1,231.2,0.4272,0.4142,3.28304,-0.27744,,
15701556,XRPUSDT,0.4284,1,231.2,0.4272,0.4142,3.28304,-0.27744,,
15701558,XRPUSDT,0.4287,1,231.2,0.4272,0.4142,3.3524,-0.3468,,
15701559,XRPUSDT,0.4293,1,230.9,0.4272,0.4142,3.48659,-0.48489,,
15701560,XRPUSDT,0.4293,1,230.9,0.4272,0.4142,3.48659,-0.48489,,
15701561,XRPUSDT,0.4292,2,50,0.4272,0.4142,-0.1,0.75,,
15701562,BTCUSDT,27981.9,2,0.0178,27909.28,27000,-1.292636,17.47782,,
15701565,XRPUSDT,0.4289,1,231.1,0.4272,0.4142,3.39717,-0.39287,,
15701567,XRPUSDT,0.4289,1,231.1,0.4272,0.4142,3.39717,-0.39287,,
15701571,XRPUSDT,0.4284,1,76.3,0.4272,0.4142,1.08346,-0.09156,,
15701578,XRPUSDT,0.4283,1,231.6,0.4272,0.4142,3.26556,-0.25476,,
15701579,XRPUSDT,0.4283,1,890.4,0.4272,0.4142,12.55464,-0.97944,,
15701580,XRPUSDT,0.4276,2,976.1,0.4272,0.4142,-0.39044,13.07974,,
15701588,XRPUSDT,0.4277,2,68.8,0.4272,0.4142,-0.0344,0.9288,,
15701589,XRPUSDT,0.4277,2,913,0.4272,0.4142,-0.4565,12.3255,,
15701590,XRPUSDT,0.4279,1,3744.5,0.4272,0.4142,51.29965,-2.62115,,
15701592,XRPUSDT,0.4284,2,1393,0.4272,0.4142,-1.6716,19.7806,,
15701593,XRPUSDT,0.4284,2,6170.3,0.4272,0.4142,-7.40436,87.61826,,
15701594,XRPUSDT,0.4285,2,275,0.4272,0.4142,-0.3575,3.9325,,
15701598,ETHUSDT,1765,2,0.255,1767.12,1726.41,0.5406,9.84045,,
15701599,XRPUSDT,0.4286,2,98.6,0.4272,0.4142,-0.13804,1.41984,,
15701601,XRPUSDT,0.429,1,2865.3,0.4272,0.4142,42.40644,-5.15754,,
15701602,XRPUSDT,0.4289,2,4720.6,0.4272,0.4142,-8.02502,69.39282,,
15701604,XRPUSDT,0.429,1,219.1,0.4272,0.4142,3.24268,-0.39438,,
15701614,XRPUSDT,0.4299,1,1160.7,0.4272,0.4142,18.22299,-3.13389,,
15701615,XRPUSDT,0.43,1,641.9,0.4272,0.4142,10.14202,-1.79732,,
